Designator,Mid X,Mid Y,Rotation,Layer
C1,94.719986,-92.9325,270.0,bottom
C2,95.737986,-92.9325,270.0,bottom
C3,96.755986,-92.9325,270.0,bottom
C4,108.418,-92.9325,270.0,bottom
C5,107.4,-92.9325,270.0,bottom
C6,106.386,-92.9325,270.0,bottom
C7,101.6,-92.7,180.0,bottom
J1,93.98,-105.41,0.0,top
J2,109.22,-104.14,0.0,top
LED1,94.17195,-88.725,180.0,top
LED10,105.87695,-88.725,180.0,top
LED11,106.07695,-87.325367,180.0,top
LED12,106.29,-85.925367,180.0,top
LED13,106.72695,-84.525367,180.0,top
LED14,107.437,-83.108719,0.0,top
LED15,108.15695,-84.525367,0.0,top
LED16,108.5865,-85.925367,0.0,top
LED17,108.8538,-87.325367,0.0,top
LED18,109.029,-88.725,0.0,top
LED2,94.37195,-87.325,180.0,top
LED3,94.585,-85.925,180.0,top
LED4,95.02195,-84.525,180.0,top
LED5,95.732,-83.108352,0.0,top
LED6,96.45195,-84.525,0.0,top
LED7,96.8815,-85.925,0.0,top
LED8,97.1488,-87.325,0.0,top
LED9,97.324,-88.725,0.0,top
R1,93.69,-92.9325,270.0,bottom
U1,101.6,-96.012,180.0,bottom
